prefix;opcode;opcode bytes;operand bytes;undocumented;fetch more opcode bytes;switch to table;mnemonic;instruction;param variant;param 1;param 2;param 3;duplicate
0xED;0x62;2;0;0;0;;SBC HL,HL;127;0;HL;HL;;
0xED;0x63;2;2;0;0;;LD (nn),HL;68;2;(nn);HL;;1
0xED;0x64;2;0;1;0;;NEG;77;0;;;;1
0xED;0x65;2;0;1;0;;RETN;99;0;;;;1
0xED;0x66;2;0;1;0;;IM 0;42;0;0;;;1
0xED;0x67;2;0;0;0;;RRD;121;0;;;;
0xED;0x68;2;0;0;0;;IN L,(C);44;0;L;(C);;
0xED;0x69;2;0;0;0;;OUT (C),L;87;0;(C);L;;
0xED;0x6A;2;0;0;0;;ADC HL,HL;5;0;HL;HL;;
0xED;0x6B;2;2;0;0;;LD HL,(nn);66;2;HL;(nn);;1
0xED;0x6C;2;0;1;0;;NEG;77;0;;;;1
0xED;0x6D;2;0;1;0;;RETN;99;0;;;;1
0xED;0x6E;2;0;1;0;;IM 0;42;0;0;;;1
0xED;0x6F;2;0;0;0;;RLD;110;0;;;;
0xED;0x70;2;0;1;0;;IN F,(C);45;0;F;(C);;
0xED;0x71;2;0;1;0;;OUT (C);86;0;(C);;;
0xED;0x72;2;0;0;0;;SBC HL,SP;127;0;HL;SP;;
0xED;0x73;2;2;0;0;;LD (nn),SP;68;1;(nn);SP;;
0xED;0x74;2;0;1;0;;NEG;77;0;;;;1
0xED;0x75;2;0;1;0;;RETN;99;0;;;;1
0xED;0x76;2;0;1;0;;IM 1;42;0;1;;;1
0xED;0x77;2;0;1;0;;NOP;78;1;;;;1
0xED;0x78;2;0;0;0;;IN A,(C);44;0;A;(C);;
0xED;0x79;2;0;0;0;;OUT (C),A;87;0;(C);A;;
0xED;0x7A;2;0;0;0;;ADC HL,SP;5;0;HL;SP;;
0xED;0x7B;2;2;0;0;;LD SP,(nn);66;1;SP;(nn);;
0xED;0x7C;2;0;1;0;;NEG;77;0;;;;1
0xED;0x7D;2;0;1;0;;RETN;99;0;;;;1
0xED;0x7E;2;0;1;0;;IM 2;42;0;2;;;1
0xED;0x7F;2;0;1;0;;NOP;78;1;;;;1
0xED;0x80;2;0;1;0;;NOP;78;1;;;;1
0xED;0x81;2;0;1;0;;NOP;78;1;;;;1
0xED;0x82;2;0;1;0;;NOP;78;1;;;;1
0xED;0x83;2;0;1;0;;NOP;78;1;;;;1
0xED;0x84;2;0;1;0;;NOP;78;1;;;;1
0xED;0x85;2;0;1;0;;NOP;78;1;;;;1
0xED;0x86;2;0;1;0;;NOP;78;1;;;;1
0xED;0x87;2;0;1;0;;NOP;78;1;;;;1
0xED;0x88;2;0;1;0;;NOP;78;1;;;;1
0xED;0x89;2;0;1;0;;NOP;78;1;;;;1
0xED;0x8A;2;0;1;0;;NOP;78;1;;;;1
0xED;0x8B;2;0;1;0;;NOP;78;1;;;;1
0xED;0x8C;2;0;1;0;;NOP;78;1;;;;1
0xED;0x8D;2;0;1;0;;NOP;78;1;;;;1
0xED;0x8E;2;0;1;0;;NOP;78;1;;;;1
0xED;0x8F;2;0;1;0;;NOP;78;1;;;;1
0xED;0x90;2;0;1;0;;NOP;78;1;;;;1
0xED;0x91;2;0;1;0;;NOP;78;1;;;;1
0xED;0x92;2;0;1;0;;NOP;78;1;;;;1
0xED;0x93;2;0;1;0;;NOP;78;1;;;;1
0xED;0x94;2;0;1;0;;NOP;78;1;;;;1
0xED;0x95;2;0;1;0;;NOP;78;1;;;;1
0xED;0x96;2;0;1;0;;NOP;78;1;;;;1
0xED;0x97;2;0;1;0;;NOP;78;1;;;;1
0xED;0x98;2;0;1;0;;NOP;78;1;;;;1
0xED;0x99;2;0;1;0;;NOP;78;1;;;;1
0xED;0x9A;2;0;1;0;;NOP;78;1;;;;1
0xED;0x9B;2;0;1;0;;NOP;78;1;;;;1
0xED;0x9C;2;0;1;0;;NOP;78;1;;;;1
0xED;0x9D;2;0;1;0;;NOP;78;1;;;;1
0xED;0x9E;2;0;1;0;;NOP;78;1;;;;1
0xED;0x9F;2;0;1;0;;NOP;78;1;;;;1
0xED;0xA0;2;0;0;0;;LDI;75;0;;;;
0xED;0xA1;2;0;0;0;;CPI;27;0;;;;
0xED;0xA2;2;0;0;0;;INI;52;0;;;;
0xED;0xA3;2;0;0;0;;OUTI;89;0;;;;
0xED;0xA4;2;0;1;0;;NOP;78;1;;;;1
0xED;0xA5;2;0;1;0;;NOP;78;1;;;;1
0xED;0xA6;2;0;1;0;;NOP;78;1;;;;1
0xED;0xA7;2;0;1;0;;NOP;78;1;;;;1
0xED;0xA8;2;0;0;0;;LDD;73;0;;;;
0xED;0xA9;2;0;0;0;;CPD;25;0;;;;
0xED;0xAA;2;0;0;0;;IND;50;0;;;;
0xED;0xAB;2;0;0;0;;OUTD;88;0;;;;
0xED;0xAC;2;0;1;0;;NOP;78;1;;;;1
0xED;0xAD;2;0;1;0;;NOP;78;1;;;;1
0xED;0xAE;2;0;1;0;;NOP;78;1;;;;1
0xED;0xAF;2;0;1;0;;NOP;78;1;;;;1
0xED;0xB0;2;0;0;0;;LDIR;76;0;;;;
0xED;0xB1;2;0;0;0;;CPIR;28;0;;;;
0xED;0xB2;2;0;0;0;;INIR;53;0;;;;
0xED;0xB3;2;0;0;0;;OTIR;84;0;;;;
0xED;0xB4;2;0;1;0;;NOP;78;1;;;;1
0xED;0xB5;2;0;1;0;;NOP;78;1;;;;1
0xED;0xB6;2;0;1;0;;NOP;78;1;;;;1
0xED;0xB7;2;0;1;0;;NOP;78;1;;;;1
0xED;0xB8;2;0;0;0;;LDDR;74;0;;;;
0xED;0xB9;2;0;0;0;;CPDR;26;0;;;;
0xED;0xBA;2;0;0;0;;INDR;51;0;;;;
0xED;0xBB;2;0;0;0;;OTDR;83;0;;;;
0xED;0xBC;2;0;1;0;;NOP;78;1;;;;1
0xED;0xBD;2;0;1;0;;NOP;78;1;;;;1
0xED;0xBE;2;0;1;0;;NOP;78;1;;;;1
0xED;0xBF;2;0;1;0;;NOP;78;1;;;;1
0xED;0xC0;2;0;1;0;;NOP;78;1;;;;1
0xED;0xC1;2;0;1;0;;NOP;78;1;;;;1
0xED;0xC2;2;0;1;0;;NOP;78;1;;;;1
0xED;0xC3;2;0;1;0;;NOP;78;1;;;;1
0xED;0xC4;2;0;1;0;;NOP;78;1;;;;1
0xED;0xC5;2;0;1;0;;NOP;78;1;;;;1
0xED;0xC6;2;0;1;0;;NOP;78;1;;;;1
0xED;0xC7;2;0;1;0;;NOP;78;1;;;;1
0xED;0xC8;2;0;1;0;;NOP;78;1;;;;1
0xED;0xC9;2;0;1;0;;NOP;78;1;;;;1
0xED;0xCA;2;0;1;0;;NOP;78;1;;;;1
0xED;0xCB;2;0;1;0;;NOP;78;1;;;;1
0xED;0xCC;2;0;1;0;;NOP;78;1;;;;1
0xED;0xCD;2;0;1;0;;NOP;78;1;;;;1
0xED;0xCE;2;0;1;0;;NOP;78;1;;;;1
0xED;0xCF;2;0;1;0;;NOP;78;1;;;;1
0xED;0xD0;2;0;1;0;;NOP;78;1;;;;1
0xED;0xD1;2;0;1;0;;NOP;78;1;;;;1
0xED;0xD2;2;0;1;0;;NOP;78;1;;;;1
0xED;0xD3;2;0;1;0;;NOP;78;1;;;;1
0xED;0xD4;2;0;1;0;;NOP;78;1;;;;1
0xED;0xD5;2;0;1;0;;NOP;78;1;;;;1
0xED;0xD6;2;0;1;0;;NOP;78;1;;;;1
0xED;0xD7;2;0;1;0;;NOP;78;1;;;;1
0xED;0xD8;2;0;1;0;;NOP;78;1;;;;1
0xED;0xD9;2;0;1;0;;NOP;78;1;;;;1
0xED;0xDA;2;0;1;0;;NOP;78;1;;;;1
0xED;0xDB;2;0;1;0;;NOP;78;1;;;;1
0xED;0xDC;2;0;1;0;;NOP;78;1;;;;1
0xED;0xDD;2;0;1;0;;NOP;78;1;;;;1
0xED;0xDE;2;0;1;0;;NOP;78;1;;;;1
