prefix;opcode;opcode bytes;operand bytes;undocumented;fetch more opcode bytes;switch to table;mnemonic;instruction;param variant;param 1;param 2;param 3;duplicate
0xDD;0xA2;;;;0;0;;;;;;;
0xDD;0xA3;;;;0;0;;;;;;;
0xDD;0xA4;2;0;1;0;;AND IXh;12;1;IXh;;;
0xDD;0xA5;2;0;1;0;;AND IXl;12;1;IXl;;;
0xDD;0xA6;2;1;0;0;;AND (IX+d);14;0;(IX+d);;;
0xDD;0xA7;;;;0;0;;;;;;;
0xDD;0xA8;;;;0;0;;;;;;;
0xDD;0xA9;;;;0;0;;;;;;;
0xDD;0xAA;;;;0;0;;;;;;;
0xDD;0xAB;;;;0;0;;;;;;;
0xDD;0xAC;2;0;1;0;;XOR IXh;154;1;IXh;;;
0xDD;0xAD;2;0;1;0;;XOR IXl;154;1;IXl;;;
0xDD;0xAE;2;1;0;0;;XOR (IX+d);156;0;(IX+d);;;
0xDD;0xAF;;;;0;0;;;;;;;
0xDD;0xB0;;;;0;0;;;;;;;
0xDD;0xB1;;;;0;0;;;;;;;
0xDD;0xB2;;;;0;0;;;;;;;
0xDD;0xB3;;;;0;0;;;;;;;
0xDD;0xB4;2;0;1;0;;OR IXh;80;1;IXh;;;
0xDD;0xB5;2;0;1;0;;OR IXl;80;1;IXl;;;
0xDD;0xB6;2;1;0;0;;OR (IX+d);82;0;(IX+d);;;
0xDD;0xB7;;;;0;0;;;;;;;
0xDD;0xB8;;;;0;0;;;;;;;
0xDD;0xB9;;;;0;0;;;;;;;
0xDD;0xBA;;;;0;0;;;;;;;
0xDD;0xBB;;;;0;0;;;;;;;
0xDD;0xBC;2;0;1;0;;CP IXh;22;1;IXh;;;
0xDD;0xBD;2;0;1;0;;CP IXl;22;1;IXl;;;
0xDD;0xBE;2;1;0;0;;CP (IX+d);24;0;(IX+d);;;
0xDD;0xBF;;;;0;0;;;;;;;
0xDD;0xC0;;;;0;0;;;;;;;
0xDD;0xC1;;;;0;0;;;;;;;
0xDD;0xC2;;;;0;0;;;;;;;
0xDD;0xC3;;;;0;0;;;;;;;
0xDD;0xC4;;;;0;0;;;;;;;
0xDD;0xC5;;;;0;0;;;;;;;
0xDD;0xC6;;;;0;0;;;;;;;
0xDD;0xC7;;;;0;0;;;;;;;
0xDD;0xC8;;;;0;0;;;;;;;
0xDD;0xC9;;;;0;0;;;;;;;
0xDD;0xCA;;;;0;0;;;;;;;
0xDD;0xCB;;;;2;5;;;;;;;
0xDD;0xCC;;;;0;0;;;;;;;
0xDD;0xCD;;;;0;0;;;;;;;
0xDD;0xCE;;;;0;0;;;;;;;
0xDD;0xCF;;;;0;0;;;;;;;
0xDD;0xD0;;;;0;0;;;;;;;
0xDD;0xD1;;;;0;0;;;;;;;
0xDD;0xD2;;;;0;0;;;;;;;
0xDD;0xD3;;;;0;0;;;;;;;
0xDD;0xD4;;;;0;0;;;;;;;
0xDD;0xD5;;;;0;0;;;;;;;
0xDD;0xD6;;;;0;0;;;;;;;
0xDD;0xD7;;;;0;0;;;;;;;
0xDD;0xD8;;;;0;0;;;;;;;
0xDD;0xD9;;;;0;0;;;;;;;
0xDD;0xDA;;;;0;0;;;;;;;
0xDD;0xDB;;;;0;0;;;;;;;
0xDD;0xDC;;;;0;0;;;;;;;
0xDD;0xDD;;;;0;0;;;;;;;
0xDD;0xDE;;;;0;0;;;;;;;
0xDD;0xDF;;;;0;0;;;;;;;
0xDD;0xE0;;;;0;0;;;;;;;
0xDD;0xE1;2;0;0;0;;POP IX;90;1;IX;;;
0xDD;0xE2;;;;0;0;;;;;;;
0xDD;0xE3;2;0;0;0;;EX (SP),IX;39;1;(SP);IX;;
0xDD;0xE4;;;;0;0;;;;;;;
0xDD;0xE5;2;0;0;0;;PUSH IX;91;1;IX;;;
0xDD;0xE6;;;;0;0;;;;;;;
0xDD;0xE7;;;;0;0;;;;;;;
0xDD;0xE8;;;;0;0;;;;;;;
0xDD;0xE9;2;0;0;0;;JP (IX);55;1;(IX);;;
0xDD;0xEA;;;;0;0;;;;;;;
0xDD;0xEB;;;;0;0;;;;;;;
0xDD;0xEC;;;;0;0;;;;;;;
0xDD;0xED;;;;0;0;;;;;;;
0xDD;0xEE;;;;0;0;;;;;;;
0xDD;0xEF;;;;0;0;;;;;;;
0xDD;0xF0;;;;0;0;;;;;;;
